calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle La Paulina;La Paulina;La;Paulina;2;Female;
Calle Claudia;Claudia;Claudia;;2;Female;
Avenida Asunción;Asunción;Asunción;;2;Female;
Avenida Alexa;Alexa;Alexa;;2;Female;
Calle Santa Marta;Santa Marta;Santa;Marta;2;Female;
Calle Miranda;Miranda;Miranda;;2;Female;
Calle Nora Villegas;Nora Villegas;Nora;Villegas;2;Female;
Calle La Matilde;La Matilde;La;Matilde;2;Female;
Calle Santa Catalina;Santa Catalina;Santa;Catalina;2;Female;
Avenida Victoria;Victoria;Victoria;;2;Female;
Calle Abelina;Abelina;Abelina;;2;Female;
Avenida Santa Elena;Santa Elena;Santa;Elena;2;Female;
Calle Casilda;Casilda;Casilda;;2;Female;
Calle Amelia Granados;Amelia Granados;Amelia;Granados;2;Female;
Calle Don Carmen;Don Carmen;Don;Carmen;2;Female;
Calle Montserrat;Montserrat;Montserrat;;2;Female;
Calle Rocío;Rocío;Rocío;;2;Female;
